,Target,Circle,Circle Length,Friend Pairs,Possible Friend Pairs,Degree of Intimacy
168,5212,1161,22,52,231,0.23
169,5212,538,96,254,4560,0.06
170,5212,518,60,507,1770,0.29
171,5212,535,104,1026,5356,0.19
172,5212,639,23,40,253,0.16
173,5212,13,7,5,21,0.24
174,5212,1593,14,48,91,0.53
175,5212,1592,20,74,190,0.39
176,5212,1591,18,64,153,0.42
177,5494,148,50,460,1225,0.38
178,5494,544,22,26,231,0.11
179,5494,542,5,7,10,0.7
180,5494,150,8,1,28,0.04
181,5494,539,6,5,15,0.33
182,5494,538,81,878,3240,0.27
183,5494,533,41,94,820,0.11
184,5494,535,17,28,136,0.21
185,5494,537,19,56,171,0.33
186,5494,536,119,1231,7021,0.18
187,5494,59,6,3,15,0.2
188,5881,588,9,15,36,0.42
189,5881,503,21,33,210,0.16
190,5881,585,6,11,15,0.73
191,5881,10,75,1321,2775,0.48
192,5881,78,15,23,105,0.22
193,5881,190,49,895,1176,0.76
194,6413,594,59,420,1711,0.25
195,6413,593,36,418,630,0.66
196,6413,45,30,46,435,0.11
197,6726,594,56,242,1540,0.16
198,6726,13,5,2,10,0.2
199,6726,592,24,31,276,0.11
200,6726,62,114,1145,6441,0.18
201,7667,643,15,42,105,0.4
202,7667,642,22,176,231,0.76
203,7667,641,122,1388,7381,0.19
204,7667,640,59,671,1711,0.39
205,7667,639,16,64,120,0.53
206,8100,665,6,3,15,0.2
207,8100,664,6,1,15,0.07
208,8100,650,5,6,10,0.6
209,8100,651,43,281,903,0.31
210,8100,652,22,71,231,0.31
211,8100,653,33,110,528,0.21
212,8100,655,6,9,15,0.6
213,8100,656,21,116,210,0.55
214,8100,13,18,44,153,0.29
215,8239,685,16,46,120,0.38
216,8239,684,6,8,15,0.53
217,8239,678,42,149,861,0.17
218,8239,677,8,9,28,0.32
219,8239,212,11,20,55,0.36
220,8553,709,14,9,91,0.1
221,8553,710,9,0,36,0.0
222,8553,711,10,16,45,0.36
223,8553,706,25,26,300,0.09
224,8553,707,14,40,91,0.44
225,8553,704,15,22,105,0.21
226,8553,13,8,16,28,0.57
227,8553,708,12,13,66,0.2
228,8553,190,79,554,3081,0.18
229,8553,62,38,269,703,0.38
230,8777,720,6,3,15,0.2
231,8777,721,5,0,10,0.0
232,8777,84,21,31,210,0.15
233,8777,713,60,713,1770,0.4
234,8777,712,82,892,3321,0.27
235,8777,715,7,13,21,0.62
236,8777,714,98,993,4753,0.21
237,8777,717,13,23,78,0.29
238,8777,716,16,68,120,0.57
239,8777,718,11,22,55,0.4
240,8777,18,13,4,78,0.05
241,9103,745,5,8,10,0.8
242,9103,742,9,5,36,0.14
243,9103,740,9,5,36,0.14
244,9103,741,5,1,10,0.1
245,9103,737,12,12,66,0.18
246,9103,62,9,18,36,0.5
247,9103,739,54,356,1431,0.25
248,9103,738,9,0,36,0.0
249,9642,720,28,66,378,0.17
250,9642,212,6,8,15,0.53
251,9642,788,12,47,66,0.71
252,9642,789,8,13,28,0.46
253,9642,783,10,34,45,0.76
254,9642,780,66,286,2145,0.13
255,9642,781,34,80,561,0.14
256,9642,786,7,8,21,0.38
257,9642,787,20,160,190,0.84
258,9642,784,6,5,15,0.33
259,9642,64,57,433,1596,0.27
260,9642,62,13,37,78,0.47
261,9642,773,13,40,78,0.51
262,9642,777,14,38,91,0.42
263,9642,776,8,6,28,0.21
264,9642,774,33,60,528,0.11
265,9642,779,49,270,1176,0.23
266,9642,778,26,208,325,0.64
267,9642,791,7,9,21,0.43
268,9642,794,8,14,28,0.5
269,9642,13,23,89,253,0.35
270,9846,104,6,14,15,0.93
271,9846,804,8,24,28,0.86
272,9846,800,5,6,10,0.6
273,9846,198,6,5,15,0.33
274,9846,192,45,447,990,0.45
275,9846,798,65,783,2080,0.38
276,9846,13,11,49,55,0.89
277,9846,10,5,1,10,0.1
278,9846,18,29,184,406,0.45
279,9947,338,9,13,36,0.36
280,9947,128,158,4552,12403,0.37
281,9947,45,31,46,465,0.1
282,9947,816,8,10,28,0.36
283,9947,817,13,34,78,0.44
284,9947,812,8,2,28,0.07
285,9947,813,49,561,1176,0.48
286,9947,818,5,2,10,0.2
287,9947,190,137,1025,9316,0.11
288,9947,13,11,47,55,0.85
289,9947,74,59,356,1711,0.21
290,9947,823,21,62,210,0.3
291,9947,822,17,22,136,0.16
292,10395,827,93,559,4278,0.13
293,10395,377,7,6,21,0.29
294,10395,828,10,1,45,0.02
295,10395,10,128,1864,8128,0.23
296,10395,84,187,3658,17391,0.21
297,10395,78,8,11,28,0.39
298,10395,830,5,3,10,0.3
299,10929,841,11,20,55,0.36
300,10929,840,8,14,28,0.5
301,10929,843,13,37,78,0.47
302,10929,845,12,47,66,0.71
303,10929,844,11,35,55,0.64
304,10929,839,24,124,276,0.45
305,11014,849,35,129,595,0.22
306,11014,848,71,664,2485,0.27
307,11014,852,53,185,1378,0.13
308,11014,850,17,111,136,0.82
309,11014,851,10,6,45,0.13
310,11014,857,9,7,36,0.19
311,11014,854,19,72,171,0.42
312,11014,855,28,171,378,0.45
313,11014,13,57,326,1596,0.2
314,11014,194,5,3,10,0.3
315,11186,993,7,1,21,0.05
316,11186,992,5,4,10,0.4
317,11186,991,5,4,10,0.4
318,11186,990,33,75,528,0.14
319,11186,994,8,19,28,0.68
320,11186,196,5,7,10,0.7
321,11186,363,6,1,15,0.07
322,11186,987,70,322,2415,0.13
323,11186,39,15,9,105,0.09
324,11186,988,6,9,15,0.6
325,11186,989,19,79,171,0.46
326,11186,906,9,13,36,0.36
327,11364,148,6,10,15,0.67
328,11364,861,6,10,15,0.67
329,11364,153,17,42,136,0.31
330,11364,18,9,8,36,0.22
331,11410,867,33,203,528,0.38
332,11410,866,139,2686,9591,0.28
333,11410,865,81,845,3240,0.26
334,11410,864,101,1647,5050,0.33
335,11410,874,7,4,21,0.19
336,11410,875,8,11,28,0.39
337,11410,877,6,8,15,0.53
338,11410,153,12,16,66,0.24
339,11410,150,6,0,15,0.0
340,12800,338,35,249,595,0.42
341,12800,908,5,2,10,0.2
342,12800,911,10,31,45,0.69
343,12800,62,167,3663,13861,0.26
344,12800,592,68,540,2278,0.24
345,12800,70,41,311,820,0.38
346,12800,909,17,25,136,0.18
347,12800,904,181,3804,16290,0.23
348,12800,906,243,8294,29403,0.28
349,12800,907,9,26,36,0.72
350,12800,900,75,1884,2775,0.68
351,12800,901,34,355,561,0.63
352,12800,902,9,11,36,0.31
353,12800,903,14,67,91,0.74
354,13353,925,5,4,10,0.4
355,13353,922,14,88,91,0.97
356,13353,918,7,21,21,1.0
357,13353,13,19,94,171,0.55
358,13353,917,17,39,136,0.29
359,13353,916,16,82,120,0.68
360,13789,959,5,7,10,0.7
361,13789,958,8,14,28,0.5
362,13789,957,16,36,120,0.3
363,13789,954,31,92,465,0.2
364,13789,953,10,14,45,0.31
365,13789,950,10,16,45,0.36
366,13789,306,31,128,465,0.28
367,13789,303,101,1914,5050,0.38
368,13789,177,47,179,1081,0.17
369,13789,226,16,72,120,0.6
370,13789,13,18,66,153,0.43
371,13789,57,83,794,3403,0.23
372,15672,273,9,5,36,0.14
373,15672,1037,41,415,820,0.51
374,15672,1038,44,534,946,0.56
375,15672,1039,31,137,465,0.29
376,15672,709,73,369,2628,0.14
377,15672,1052,66,1006,2145,0.47
378,15672,1053,6,1,15,0.07
379,15672,1050,23,34,253,0.13
380,15672,1051,17,88,136,0.65
381,15672,1055,9,25,36,0.69
382,15672,1058,6,5,15,0.33
383,15672,1072,5,7,10,0.7
384,15672,1068,20,57,190,0.3
385,15672,1062,6,9,15,0.6
386,15672,1061,32,200,496,0.4
387,15672,1067,11,29,55,0.53
388,15672,1041,19,96,171,0.56
389,15672,1040,89,393,3916,0.1
390,15672,1043,125,3161,7750,0.41
391,15672,1042,233,3405,27028,0.13
392,15672,1047,31,102,465,0.22
393,15672,1046,20,86,190,0.45
394,15672,1049,15,48,105,0.46
395,15672,13,10,36,45,0.8
396,15672,1048,19,23,171,0.13
397,16203,703,60,787,1770,0.44
398,16203,1087,57,1050,1596,0.66
399,16203,150,16,4,120,0.03
400,16203,1088,35,124,595,0.21
401,16378,1094,28,75,378,0.2
402,16378,1095,5,4,10,0.4
403,16378,1092,5,2,10,0.2
404,16378,1093,5,2,10,0.2
405,16378,1091,59,387,1711,0.23
406,16642,1119,15,47,105,0.45
407,16642,1113,15,83,105,0.79
408,16642,1112,11,5,55,0.09
409,16642,1111,33,289,528,0.55
410,16642,1110,33,289,528,0.55
411,16642,1117,12,18,66,0.27
412,16642,1114,6,3,15,0.2
413,16642,62,55,329,1485,0.22
414,16642,1099,5,3,10,0.3
415,16642,1123,15,74,105,0.7
416,16642,1120,12,47,66,0.71
417,16642,153,12,27,66,0.41
418,16642,194,82,397,3321,0.12
419,16642,1105,48,348,1128,0.31
420,16642,1106,39,338,741,0.46
421,16642,1101,6,9,15,0.6
422,16642,1109,33,289,528,0.55
423,16869,1156,12,11,66,0.17
424,16869,13,19,68,171,0.4
425,16869,74,38,118,703,0.17
426,16869,10,26,173,325,0.53
427,16869,1152,14,3,91,0.03
428,17951,1218,8,18,28,0.64
429,17951,1219,13,68,78,0.87
430,17951,1217,20,82,190,0.43
431,17951,1221,12,40,66,0.61
432,17951,708,8,19,28,0.68
433,18005,1224,16,78,120,0.65
434,18005,1223,24,64,276,0.23
435,18005,1222,5,4,10,0.4
436,18543,1236,9,27,36,0.75
437,18543,1234,5,8,10,0.8
438,18543,1232,16,68,120,0.57
439,18543,84,5,5,10,0.5
440,18543,18,8,2,28,0.07
441,19129,74,74,282,2701,0.1
442,19129,1256,14,19,91,0.21
443,19129,1257,22,25,231,0.11
444,19129,62,18,38,153,0.25
445,19129,92,39,127,741,0.17
446,19788,338,9,7,36,0.19
447,19788,1017,26,186,325,0.57
448,19788,1070,24,114,276,0.41
449,19788,1273,7,16,21,0.76
450,19788,1270,8,10,28,0.36
451,19788,1271,53,351,1378,0.25
452,19788,1277,7,6,21,0.29
453,19788,1274,12,17,66,0.26
454,19788,1275,11,9,55,0.16
455,19788,1282,5,5,10,0.5
456,19788,1269,6,10,15,0.67
457,19788,1268,15,15,105,0.14
458,19788,13,16,26,120,0.22
459,19788,10,51,292,1275,0.23
460,19788,1265,28,47,378,0.12
461,19788,1266,50,410,1225,0.33
462,22650,127,6,3,15,0.2
463,22650,1391,6,10,15,0.67
464,22650,36,10,22,45,0.49
465,22650,15,12,16,66,0.24
466,22650,13,19,66,171,0.39
467,22650,1388,16,75,120,0.62
468,22650,1389,14,54,91,0.59
469,22650,1384,7,7,21,0.33
470,22650,1385,6,7,15,0.47
471,22650,1383,65,745,2080,0.36
472,22650,1380,7,9,21,0.43
473,22650,1381,9,29,36,0.81
474,22824,1399,6,1,15,0.07
475,22824,1398,10,15,45,0.33
476,22824,1394,33,167,528,0.32
477,22824,1396,9,2,36,0.06
478,22824,1392,14,13,91,0.14
479,22824,62,12,59,66,0.89
480,22824,281,8,20,28,0.71
481,22824,538,9,2,36,0.06
482,22824,15,8,17,28,0.61
483,22824,13,9,33,36,0.92
484,22824,74,10,16,45,0.36
485,23157,1411,6,0,15,0.0
486,23157,1415,28,106,378,0.28
487,23157,110,27,95,351,0.27
488,23157,363,12,47,66,0.71
489,23157,39,35,35,595,0.06
490,23157,36,22,105,231,0.45
491,23157,416,76,345,2850,0.12
492,23157,1409,34,247,561,0.44
493,23157,1408,14,44,91,0.48
494,23157,13,26,97,325,0.3
495,23157,10,13,30,78,0.38
496,23157,1405,13,24,78,0.31
497,23157,1404,17,38,136,0.28
498,23157,1407,22,68,231,0.29
499,23157,1406,11,8,55,0.15
500,23299,731,88,403,3828,0.11
501,23299,281,9,20,36,0.56
502,23299,1319,16,0,120,0.0
503,23299,403,48,95,1128,0.08
504,23299,1421,27,54,351,0.15
505,23299,1423,38,215,703,0.31
506,23299,1422,38,227,703,0.32
507,23299,1418,18,2,153,0.01
508,23299,1419,6,10,15,0.67
509,23299,13,83,526,3403,0.15
510,23299,1420,40,81,780,0.1
511,23299,1424,8,19,28,0.68
512,23299,205,28,60,378,0.16
513,23299,62,12,46,66,0.7
514,23299,1417,76,381,2850,0.13
515,24758,1445,9,13,36,0.36
516,24758,1444,13,26,78,0.33
517,24758,1447,6,3,15,0.2
518,24758,13,8,15,28,0.54
519,24758,1443,8,21,28,0.75
520,24857,1473,11,28,55,0.51
521,24857,1468,14,63,91,0.69
522,24857,1465,72,1108,2556,0.43
523,24857,1464,92,1335,4186,0.32
524,24857,1467,17,60,136,0.44
525,24857,78,36,245,630,0.39
526,24857,45,10,1,45,0.02
527,24857,1470,26,160,325,0.49
528,25159,1478,69,806,2346,0.34
529,25159,25,9,23,36,0.64
530,25159,62,55,776,1485,0.52
531,25159,110,8,7,28,0.25
532,25159,190,17,50,136,0.37
533,25159,1481,5,3,10,0.3
534,25159,1480,26,37,325,0.11
535,25159,1483,8,19,28,0.68
536,25159,1482,10,23,45,0.51
537,25159,1484,10,13,45,0.29
538,25159,74,5,3,10,0.3
539,25159,78,13,26,78,0.33
540,25159,900,14,50,91,0.55
541,25159,18,12,23,66,0.35
542,25568,84,17,100,136,0.74
543,25568,1501,22,100,231,0.43
544,25568,1502,53,590,1378,0.43
545,25568,1503,30,63,435,0.14
546,25568,1505,6,15,15,1.0
547,25568,1507,5,8,10,0.8
548,25568,1508,10,14,45,0.31
549,25568,1509,5,0,10,0.0
550,25568,421,38,338,703,0.48
551,25568,25,21,150,210,0.71
552,25568,410,17,22,136,0.16
553,25568,18,10,11,45,0.24
554,25773,273,5,1,10,0.1
555,25773,182,35,34,595,0.06
556,25773,1528,6,7,15,0.47
557,25773,1526,19,61,171,0.36
558,25773,1524,17,25,136,0.18
559,25773,1525,37,145,666,0.22
560,25773,281,9,3,36,0.08
561,25773,76,94,1077,4371,0.25
562,25773,198,5,0,10,0.0
563,25773,13,9,7,36,0.19
564,25773,10,58,551,1653,0.33
565,26321,963,7,13,21,0.62
566,26321,13,16,22,120,0.18
567,26321,74,27,115,351,0.33
568,26321,10,11,23,55,0.42
569,26321,1549,5,6,10,0.6
570,26321,18,7,2,21,0.1
571,26492,179,6,1,15,0.07
572,26492,540,9,3,36,0.08
573,26492,319,13,43,78,0.55
574,26492,62,143,4274,10153,0.42
575,26492,328,41,159,820,0.19
576,26492,324,22,39,231,0.17
577,26492,1558,10,2,45,0.04
578,26492,1553,6,2,15,0.13
579,26492,1551,6,7,15,0.47
580,26492,1550,11,3,55,0.05
581,26492,1556,6,1,15,0.07
582,26492,1555,6,0,15,0.0
583,26492,13,13,50,78,0.64
584,26492,74,34,112,561,0.2
585,26492,897,17,27,136,0.2
586,26492,18,18,35,153,0.23
